Experiment 231 chlorophyll and NADH concentration after treatment A;;;;;;;Experiment 232 chlorophyll and NADH concentration after treatment B;;;;
;sample1;sample2;sample3;sample4;;;;sample1;sample2;sample3;sample4
chlorophyll;0,014;0,024;0,01;0,017;;;chlorophyll;0,022;0,0287;0,0194;0,0224
NADH;2,014;1,98;2,001;2,009;;;NADH;2,0197;1,9832;2,01;2,0157
;;;;;;;;;;;
average;2,001;;;;;;;;;;
stdev;0,013;;;;;;Experiment 234 chlorophyll and NADH concentration after treatment D;;;;
;;;;;;;;sample1;sample2;sample3;sample4
Experiment 233 chlorophyll and NADH concentration after treatment C;;;;;;;chlorophyll;0,0185;0,0299;0,0172;0,0231
;sample1;sample2;sample3;sample4;;;NADH;2,0161;1,9839;2,0075;2,0171
chlorophyll;0,0141;0,0329;0,0139;0,0256;;;;;;;
NADH;2,0233;1,9805;2,0083;2,0119;;;;;;;
